2.743;1900
23;205;
69;197;
118;189;
167;182;
215;177;
263;171;
310;167;
357;164;
403;162;
449;161;
494;160;
539;161;
584;163;
627;165;
670;168;
713;172;
756;177;
798;183;
840;190;
881;197;
922;206;
963;215;
1002;224;
1042;235;
1081;246;
1120;259;
1159;272;
1197;285;
1234;300;
1272;315;
1308;331;
1345;348;
1381;365;
1416;383;
1451;402;
1487;422;
1526;421;
1566;404;
1607;388;
1647;374;
1688;360;
1728;347;
1768;335;
1807;323;
1846;313;
1886;305;
1910;299;
