1.75;1157
59;75;
59;75;
59;76;
59;75;
58;76;
59;76;
59;76;
61;76;
63;76;
65;76;
67;76;
71;76;
75;76;
81;76;
86;76;
91;76;
99;76;
106;75;
114;76;
122;75;
132;75;
141;75;
151;75;
162;75;
174;75;
186;75;
199;75;
212;75;
227;75;
241;75;
256;75;
272;75;
289;75;
305;75;
323;75;
341;75;
360;75;
379;75;
400;75;
420;75;
442;75;
463;75;
485;76;
509;76;
532;76;
555;76;
580;77;
604;77;
619;77;
608;78;
594;78;
580;78;
567;78;
555;79;
543;79;
532;79;
522;80;
512;80;
503;80;
495;81;
487;81;
479;82;
474;82;
468;82;
464;83;
459;83;
456;84;
453;84;
451;84;
448;85;
448;85;
448;85;
448;86;
448;86;
450;86;
452;87;
454;87;
458;87;
462;88;
467;88;
473;88;
478;88;
485;89;
492;89;
500;90;
508;90;
517;90;
527;90;
538;90;
548;91;
560;91;
572;91;
585;91;
598;92;
611;92;
624;92;
614;93;
608;94;
601;96;
593;97;
587;98;
