1.86;1203.0
21;19;
21;19;
21;19;
22;19;
21;19;
22;19;
21;19;
21;18;
21;18;
21;18;
21;18;
21;17;
21;17;
21;17;
21;17;
21;17;
20;17;
20;17;
20;17;
20;16;
20;16;
19;16;
19;15;
19;15;
19;14;
19;14;
20;14;
20;14;
22;14;
23;14;
23;15;
26;15;
28;15;
32;15;
36;16;
40;16;
47;16;
52;17;
58;17;
65;17;
73;17;
81;17;
90;19;
99;18;
109;19;
121;19;
132;19;
144;19;
157;20;
170;20;
183;20;
198;20;
213;20;
228;20;
244;20;
261;20;
278;20;
296;20;
314;20;
333;20;
352;20;
373;21;
392;20;
414;21;
436;20;
458;21;
481;21;
504;20;
528;21;
553;21;
577;20;
602;20;
628;20;
654;20;
681;20;
708;19;
736;19;
764;19;
793;19;
822;18;
852;17;
882;18;
913;17;
943;17;
977;16;
1007;15;
1040;15;
1073;14;
1106;14;
1140;13;
1174;13;
1210;12;
1245;12;
1280;12;
1317;11;
1354;11;
1391;10;
1428;9;
1466;9;
1505;9;
1544;8;
1583;8;
1622;8;
1662;8;
1703;7;
1731;8;
1704;7;
1668;9;
1635;9;
1601;10;
1569;11;
1537;12;
1507;13;
1477;14;
1448;14;
1421;16;
1394;17;
1367;18;
1341;20;
1317;20;
1293;21;
1270;23;
1249;23;
1226;24;
1205;26;
1186;27;
1166;28;
1147;29;
1128;30;
1111;31;
1095;32;
1079;33;
1064;34;
1049;35;
1036;37;
1023;37;
1010;39;
998;40;
987;41;
977;42;
966;43;
957;44;
949;45;
941;46;
933;47;
927;48;
921;49;
915;50;
911;51;
907;52;
903;53;
900;54;
899;55;
897;56;
896;57;
896;58;
896;59;
897;60;
899;61;
901;62;
904;63;
907;64;
911;65;
916;66;
920;67;
927;68;
933;69;
941;70;
948;71;
957;71;
966;73;
975;74;
986;74;
996;75;
1007;76;
1019;77;
1032;78;
1045;79;
1059;80;
1074;81;
1088;82;
1104;82;
1119;83;
1137;84;
1153;85;
1171;86;
1190;86;
1209;87;
1229;88;
1249;89;
1270;90;
1291;90;
1313;91;
1336;92;
1358;93;
1381;94;
1407;95;
1431;96;
1456;97;
1482;98;
1508;98;
1535;100;
1563;100;
1591;101;
1619;102;
1647;103;
1678;104;
1707;104;
1734;106;
1717;106;
1691;108;
1666;109;
1642;110;
1617;111;
1595;112;
1572;113;
1551;114;
1530;116;
1510;117;
1492;118;
1473;119;
1456;121;
1439;122;
1423;123;
1407;125;
1393;126;
1379;127;
1365;128;
1352;129;
1341;131;
1329;131;
1319;133;
1309;134;
1300;135;
1291;136;
1283;137;
1275;139;
1269;139;
1263;141;
1257;142;
1253;143;
1248;144;
1245;145;
1242;146;
1240;148;
1239;148;
1238;150;
1237;151;
1238;152;
1239;153;
1240;154;
1242;155;
1245;156;
1248;158;
1252;159;
1257;160;
1262;161;
1268;162;
1275;163;
1282;164;
1290;165;
1298;166;
1307;168;
1317;169;
1327;169;
1338;170;
1350;172;
1362;173;
1374;174;
1388;175;
1402;176;
1416;177;
1432;178;
1447;179;
1463;180;
1480;181;
1498;181;
1516;183;
1536;183;
1555;184;
1575;186;
1595;186;
1617;187;
1638;188;
1660;189;
1683;189;
1706;191;
1730;192;
1733;193;
1712;193;
1693;194;
1673;195;
1655;196;
1637;197;
1619;197;
1603;198;
1587;199;
1572;200;
1558;201;
1544;202;
1531;203;
1518;204;
1506;205;
1496;206;
1485;207;
1476;208;
1467;209;
1459;210;
1451;211;
1444;212;
1438;213;
1432;214;
1427;215;
1423;216;
1419;217;
1416;218;
1414;219;
1412;220;
1411;221;
1410;222;
1410;222;
1411;224;
1412;225;
1414;226;
1417;227;
1420;228;
